4,CMM2,,,,CP437,,,,CP1252,,,,MMB4L,,
Byte,Hex,Decimal,Unicode,,Hex,Decimal,Unicode,,Hex,Decimal,Unicode,,Hex,Decimal,Unicode
,,,,,,,,,,,,,,,
196,2500,9472,ƒ,,2500,9472,ƒ,,00c4,196,é,,2500,9472,ƒ
197,253c,9532,≈,,253c,9532,≈,,00c5,197,è,,253c,9532,≈
198,255e,9566,?,,255e,9566,?,,00c6,198,í,,255e,9566,?
199,255f,9567,?,,255f,9567,?,,00c7,199,Ä,,255f,9567,?
200,255a,9562,»,,255a,9562,»,,00c8,200,‘,,255a,9562,»
201,2554,9556,…,,2554,9556,…,,00c9,201,ê,,2554,9556,…
202,2569,9577, ,,2569,9577, ,,00ca,202,“,,2569,9577, 
203,2566,9574,À,,2566,9574,À,,00cb,203,”,,2566,9574,À
204,2560,9568,Ã,,2560,9568,Ã,,00cc,204,ﬁ,,2560,9568,Ã
205,2550,9552,Õ,,2550,9552,Õ,,00cd,205,÷,,2550,9552,Õ
206,256c,9580,Œ,,256c,9580,Œ,,00ce,206,◊,,256c,9580,Œ
207,2567,9575,?,,2567,9575,?,,00cf,207,ÿ,,2567,9575,?
208,2568,9576,?,,2568,9576,?,,00d0,208,—,,2568,9576,?
209,2564,9572,?,,2564,9572,?,,00d1,209,•,,2564,9572,?
210,2565,9573,?,,2565,9573,?,,00d2,210,„,,2565,9573,?
211,2559,9561,?,,2559,9561,?,,00d3,211,‡,,2559,9561,?
212,2558,9560,?,,2558,9560,?,,00d4,212,‚,,2558,9560,?
213,2552,9554,?,,2552,9554,?,,00d5,213,Â,,2552,9554,?
214,2553,9555,?,,2553,9555,?,,00d6,214,ô,,2553,9555,?
215,256b,9579,?,,256b,9579,?,,00d7,215,û,,256b,9579,?
216,256a,9578,?,,256a,9578,?,,00d8,216,ù,,256a,9578,?
217,2518,9496,Ÿ,,2518,9496,Ÿ,,00d9,217,Î,,2518,9496,Ÿ
218,250c,9484,⁄,,250c,9484,⁄,,00da,218,È,,250c,9484,⁄
219,2588,9608,€,,2588,9608,€,,00db,219,Í,,2588,9608,€
220,2584,9604,‹,,2584,9604,‹,,00dc,220,ö,,2584,9604,‹
221,258c,9612,?,,258c,9612,?,,00dd,221,Ì,,258c,9612,?
222,2590,9616,?,,2590,9616,?,,00de,222,Ë,,2590,9616,?
223,2580,9600,ﬂ,,2580,9600,ﬂ,,00df,223,·,,2580,9600,ﬂ
224,03b1,945,?,,03b1,945,?,,00e0,224,Ö,,03b1,945,?
225,00DF,223,·,,00DF,223,·,,00e1,225,†,,00DF,223,·
226,0393,915,?,,0393,915,?,,00e2,226,É,,0393,915,?
227,03c0,960,?,,03c0,960,?,,00e3,227,∆,,03c0,960,?
228,03a3,931,?,,03a3,931,?,,00e4,228,Ñ,,03a3,931,?
229,03c3,963,?,,03c3,963,?,,00e5,229,Ü,,03c3,963,?
230,03bc,956,?,,03bc,956,?,,00e6,230,ë,,03bc,956,?
231,03c4,964,?,,03c4,964,?,,00e7,231,á,,03c4,964,?
232,03a6,934,?,,03a6,934,?,,00e8,232,ä,,03a6,934,?
233,0398,920,?,,0398,920,?,,00e9,233,Ç,,0398,920,?
234,03a9,937,?,,03a9,937,?,,00ea,234,à,,03a9,937,?
235,03b4,948,?,,03b4,948,?,,00eb,235,â,,03b4,948,?
236,221e,8734,?,,221e,8734,?,,00ec,236,ç,,221e,8734,?
237,03c6,966,?,,03c6,966,?,,00ed,237,°,,03c6,966,?
238,03b5,949,?,,03b5,949,?,,00ee,238,å,,03b5,949,?
239,2229,8745,?,,2229,8745,?,,00ef,239,ã,,2229,8745,?
240,2261,8801,?,,2261,8801,?,,00f0,240,–,,2261,8801,?
241,00b1,177,Ò,,00b1,177,Ò,,00f1,241,§,,00b1,177,Ò
242,2265,8805,?,,2265,8805,?,,00f2,242,ï,,2265,8805,?
243,2264,8804,?,,2264,8804,?,,00f3,243,¢,,2264,8804,?
244,00bd,189,´,,2320,8992,?,,00f4,244,ì,,2320,8992,?
245,00bc,188,¨,,2321,8993,?,,00f5,245,‰,,2321,8993,?
246,00f7,247,ˆ,,00f7,247,ˆ,,00f6,246,î,,00f7,247,ˆ
247,2248,8776,?,,2248,8776,?,,00f7,247,ˆ,,2248,8776,?
248,00b0,176,¯,,00b0,176,¯,,00f8,248,õ,,00b0,176,¯
249,2219,8729,?,,2219,8729,?,,00f9,249,ó,,2219,8729,?
250,00b7,183,˙,,00b7,183,˙,,00fa,250,£,,00b7,183,˙
251,221a,8730,?,,221a,8730,?,,00fb,251,ñ,,221a,8730,?
252,207f,8319,?,,207f,8319,?,,00fc,252,Å,,207f,8319,?
253,00b2,178,˝,,00b2,178,˝,,00fd,253,Ï,,00b2,178,˝
254,25a0,9632,˛,,25a0,9632,˛,,00fe,254,Á,,25a0,9632,˛
255,263c,9788,?,,00a0,160,ˇ,,00ff,255,ò,,2302,8962,?
